scenario,year,tas,tas_degree
historical,1850,278.04538,4.895379638671898
historical,1851,278.01498,4.864984130859398
historical,1852,277.9753,4.825311279296898
historical,1853,278.03372,4.883721923828148
historical,1854,277.9086,4.758599853515648
historical,1855,277.93958,4.789575195312523
historical,1856,277.95523,4.805230712890648
historical,1857,278.05008,4.900079345703148
historical,1858,277.98688,4.836877441406273
historical,1859,277.90018,4.750177001953148
historical,1860,277.82916,4.679162597656273
historical,1861,277.86887,4.718865966796898
historical,1862,277.82574,4.675744628906273
historical,1863,277.83398,4.683984375000023
historical,1864,277.86435,4.714349365234398
historical,1865,277.812,4.662011718750023
historical,1866,277.85965,4.709649658203148
historical,1867,277.92126,4.771264648437523
historical,1868,277.89664,4.746636962890648
historical,1869,277.924,4.774011230468773
historical,1870,277.91043,4.760430908203148
historical,1871,277.95767,4.807672119140648
historical,1872,277.92996,4.779962158203148
historical,1873,277.98856,4.838555908203148
historical,1874,277.99323,4.843225097656273
historical,1875,277.96365,4.813653564453148
historical,1876,278.0352,4.885186767578148
historical,1877,277.94666,4.796655273437523
historical,1878,277.89618,4.746179199218773
historical,1879,277.9142,4.764215087890648
historical,1880,277.91064,4.760644531250023
historical,1881,278.0264,4.876397705078148
historical,1882,277.9534,4.803399658203148
historical,1883,277.97678,4.826776123046898
historical,1884,277.6021,4.452111816406273
historical,1885,277.68936,4.539361572265648
historical,1886,277.81982,4.669824218750023
historical,1887,277.914,4.764001464843773
historical,1888,277.96686,4.816857910156273
historical,1889,277.95108,4.801080322265648
historical,1890,277.95737,4.807366943359398
historical,1891,277.86478,4.714776611328148
historical,1892,277.99988,4.849877929687523
historical,1893,277.93768,4.787683105468773
historical,1894,278.00827,4.858270263671898
historical,1895,278.0469,4.896905517578148
historical,1896,278.00208,4.852075195312523
historical,1897,277.96408,4.814080810546898
historical,1898,277.94968,4.799676513671898
historical,1899,277.99133,4.841333007812523
historical,1900,277.94266,4.792657470703148
historical,1901,277.97577,4.825769042968773
historical,1902,277.99222,4.842218017578148
historical,1903,277.81885,4.668847656250023
historical,1904,277.89606,4.746057128906273
historical,1905,278.001,4.851007080078148
historical,1906,277.9557,4.805688476562523
historical,1907,278.01904,4.869042968750023
historical,1908,278.04047,4.890466308593773
historical,1909,278.04944,4.899438476562523
historical,1910,278.02448,4.874475097656273
historical,1911,278.00012,4.850122070312523
historical,1912,277.9279,4.777886962890648
historical,1913,277.90854,4.758538818359398
historical,1914,278.0195,4.869500732421898
historical,1915,278.01407,4.864068603515648
historical,1916,278.04288,4.892877197265648
historical,1917,278.06656,4.916558837890648
historical,1918,278.12677,4.976770019531273
historical,1919,278.08737,4.937371826171898
historical,1920,278.09988,4.949884033203148
historical,1921,278.13916,4.989160156250023
historical,1922,278.20615,5.056146240234398
historical,1923,278.22308,5.073083496093773
historical,1924,278.17377,5.023767089843773
historical,1925,278.18063,5.030633544921898
historical,1926,278.2231,5.073114013671898
historical,1927,278.1822,5.032189941406273
historical,1928,278.15417,5.004174804687523
historical,1929,278.09814,4.948144531250023
historical,1930,278.06943,4.919427490234398
historical,1931,278.08902,4.939019775390648
historical,1932,278.06793,4.917932128906273
historical,1933,278.12677,4.976770019531273
historical,1934,278.15756,5.007562255859398
historical,1935,278.22253,5.072534179687523
historical,1936,278.17377,5.023767089843773
historical,1937,278.16223,5.012231445312523
historical,1938,278.18094,5.030938720703148
historical,1939,278.2009,5.050897216796898
historical,1940,278.252,5.102014160156273
historical,1941,278.18164,5.031640625000023
historical,1942,278.2695,5.119500732421898
historical,1943,278.17682,5.026818847656273
historical,1944,278.22708,5.077081298828148
historical,1945,278.14832,4.998315429687523
historical,1946,278.25888,5.108880615234398
historical,1947,278.35022,5.200219726562523
historical,1948,278.28925,5.139245605468773
historical,1949,278.26105,5.111047363281273
historical,1950,278.24896,5.098962402343773
historical,1951,278.21207,5.062066650390648
historical,1952,278.17892,5.028924560546898
historical,1953,278.1672,5.017205810546898
historical,1954,278.1667,5.016687011718773
historical,1955,278.19785,5.047845458984398
historical,1956,278.1774,5.027398681640648
historical,1957,278.2023,5.052301025390648
historical,1958,278.31772,5.167718505859398
historical,1959,278.2865,5.136499023437523
historical,1960,278.3299,5.179895019531273
historical,1961,278.3006,5.150598144531273
historical,1962,278.2592,5.109185791015648
historical,1963,278.226,5.076013183593773
historical,1964,278.25577,5.105767822265648
historical,1965,278.2116,5.061608886718773
historical,1966,278.23764,5.087640380859398
historical,1967,278.26468,5.114678955078148
historical,1968,278.28778,5.137780761718773
historical,1969,278.23788,5.087884521484398
historical,1970,278.32712,5.177117919921898
historical,1971,278.4102,5.260186767578148
historical,1972,278.30728,5.157281494140648
historical,1973,278.31818,5.168176269531273
historical,1974,278.29553,5.145532226562523
historical,1975,278.2353,5.085290527343773
historical,1976,278.3087,5.158685302734398
historical,1977,278.37787,5.227868652343773
historical,1978,278.46954,5.319543457031273
historical,1979,278.39908,5.249078369140648
historical,1980,278.46405,5.314050292968773
historical,1981,278.50275,5.352746582031273
historical,1982,278.51306,5.363061523437523
historical,1983,278.47098,5.320977783203148
historical,1984,278.5574,5.407403564453148
historical,1985,278.5506,5.400598144531273
historical,1986,278.60007,5.450067138671898
historical,1987,278.59433,5.444329833984398
historical,1988,278.70712,5.557122802734398
historical,1989,278.73383,5.583825683593773
historical,1990,278.7495,5.599511718750023
historical,1991,278.70868,5.558679199218773
historical,1992,278.51962,5.369622802734398
historical,1993,278.5327,5.382714843750023
historical,1994,278.69098,5.540979003906273
historical,1995,278.76938,5.619378662109398
historical,1996,278.82147,5.671472167968773
historical,1997,278.80927,5.659265136718773
historical,1998,278.89993,5.749932861328148
historical,1999,278.8492,5.699212646484398
historical,2000,278.93274,5.782739257812523
historical,2001,278.97214,5.822137451171898
historical,2002,279.05957,5.909570312500023
historical,2003,279.0475,5.897485351562523
historical,2004,279.01712,5.867120361328148
historical,2005,279.09528,5.945275878906273
historical,2006,279.1301,5.980096435546898
historical,2007,279.04678,5.896783447265648
historical,2008,279.1544,6.004388427734398
historical,2009,279.13055,5.980554199218773
historical,2010,279.17996,6.029962158203148
historical,2011,279.15237,6.002374267578148
historical,2012,279.24213,6.092126464843773
historical,2013,279.28586,6.135858154296898
historical,2014,279.2912,6.141198730468773
ssp126,2015,279.1676,6.017602539062523
ssp126,2016,279.37482,6.224816894531273
ssp126,2017,279.22974,6.079736328125023
ssp126,2018,279.28314,6.133142089843773
ssp126,2019,279.27414,6.124139404296898
ssp126,2020,279.28433,6.134332275390648
ssp126,2021,279.24008,6.090081787109398
ssp126,2022,279.50607,6.356072998046898
ssp126,2023,279.56412,6.414117431640648
ssp126,2024,279.6265,6.476495361328148
ssp126,2025,279.63327,6.483270263671898
ssp126,2026,279.59662,6.446618652343773
ssp126,2027,279.52094,6.370935058593773
ssp126,2028,279.5833,6.433312988281273
ssp126,2029,279.50833,6.358331298828148
ssp126,2030,279.5754,6.425408935546898
ssp126,2031,279.4985,6.348504638671898
ssp126,2032,279.6412,6.491204833984398
ssp126,2033,279.64627,6.496270751953148
ssp126,2034,279.6468,6.496789550781273
ssp126,2035,279.67426,6.524255371093773
ssp126,2036,279.70224,6.552239990234398
ssp126,2037,279.6934,6.543389892578148
ssp126,2038,279.72635,6.576348876953148
ssp126,2039,279.9436,6.793603515625023
ssp126,2040,279.85822,6.708215332031273
ssp126,2041,279.88745,6.737451171875023
ssp126,2042,279.91055,6.760552978515648
ssp126,2043,279.85153,6.701531982421898
ssp126,2044,279.78983,6.639825439453148
ssp126,2045,279.84433,6.694329833984398
ssp126,2046,279.88007,6.730065917968773
ssp126,2047,279.91708,6.767083740234398
ssp126,2048,279.85895,6.708947753906273
ssp126,2049,279.84854,6.698541259765648
ssp126,2050,279.6889,6.538903808593773
ssp126,2051,279.63394,6.483941650390648
ssp126,2052,279.73602,6.586022949218773
ssp126,2053,279.80255,6.652551269531273
ssp126,2054,279.8867,6.736688232421898
ssp126,2055,279.81613,6.666131591796898
ssp126,2056,279.84836,6.698358154296898
ssp126,2057,279.84702,6.697015380859398
ssp126,2058,280.05676,6.906762695312523
ssp126,2059,280.01782,6.867822265625023
ssp126,2060,279.9771,6.827111816406273
ssp126,2061,279.9973,6.847314453125023
ssp126,2062,279.99304,6.843041992187523
ssp126,2063,280.0283,6.878289794921898
ssp126,2064,279.9764,6.826409912109398
ssp126,2065,279.93723,6.787225341796898
ssp126,2066,279.81018,6.660180664062523
ssp126,2067,279.81735,6.667352294921898
ssp126,2068,280.0412,6.891198730468773
ssp126,2069,279.86896,6.718957519531273
ssp126,2070,279.8088,6.658807373046898
ssp126,2071,279.99734,6.847344970703148
ssp126,2072,279.94754,6.797540283203148
ssp126,2073,279.93796,6.787957763671898
ssp126,2074,279.87003,6.720025634765648
ssp126,2075,279.79227,6.642266845703148
ssp126,2076,279.8755,6.725488281250023
ssp126,2077,279.84613,6.696130371093773
ssp126,2078,279.89127,6.741265869140648
ssp126,2079,279.9373,6.787286376953148
ssp126,2080,279.77548,6.625482177734398
ssp126,2081,279.86624,6.716241455078148
ssp126,2082,279.9807,6.830712890625023
ssp126,2083,280.00262,6.852624511718773
ssp126,2084,279.98822,6.838220214843773
ssp126,2085,279.81305,6.663049316406273
ssp126,2086,279.81577,6.665765380859398
ssp126,2087,279.88373,6.733728027343773
ssp126,2088,280.02255,6.872552490234398
ssp126,2089,279.99448,6.844476318359398
ssp126,2090,279.91257,6.762567138671898
ssp126,2091,279.75122,6.601220703125023
ssp126,2092,279.81375,6.663751220703148
ssp126,2093,279.85703,6.707025146484398
ssp126,2094,279.90805,6.758050537109398
ssp126,2095,279.92728,6.777276611328148
ssp126,2096,279.8342,6.684197998046898
ssp126,2097,279.8229,6.672906494140648
ssp126,2098,279.72708,6.577081298828148
ssp126,2099,279.76776,6.617761230468773
ssp126,2100,279.76358,6.613580322265648
ssp585,2015,279.25928,6.109277343750023
ssp585,2016,279.3776,6.227593994140648
ssp585,2017,279.2449,6.094903564453148
ssp585,2018,279.30844,6.158441162109398
ssp585,2019,279.32767,6.177667236328148
ssp585,2020,279.39767,6.247674560546898
ssp585,2021,279.49634,6.346337890625023
ssp585,2022,279.49673,6.346734619140648
ssp585,2023,279.507,6.356988525390648
ssp585,2024,279.56177,6.411767578125023
ssp585,2025,279.61343,6.463433837890648
ssp585,2026,279.48923,6.339227294921898
ssp585,2027,279.5903,6.440301513671898
ssp585,2028,279.4918,6.341790771484398
ssp585,2029,279.70786,6.557855224609398
ssp585,2030,279.75507,6.605065917968773
ssp585,2031,279.7272,6.577203369140648
ssp585,2032,279.72473,6.574731445312523
ssp585,2033,279.66904,6.519036865234398
ssp585,2034,279.80078,6.650781250000023
ssp585,2035,279.96707,6.817071533203148
ssp585,2036,279.93228,6.782281494140648
ssp585,2037,279.9795,6.829492187500023
ssp585,2038,280.05698,6.906976318359398
ssp585,2039,279.92712,6.777124023437523
ssp585,2040,280.08926,6.939263916015648
ssp585,2041,280.02338,6.873376464843773
ssp585,2042,280.02942,6.879418945312523
ssp585,2043,280.0992,6.949212646484398
ssp585,2044,280.13077,6.980767822265648
ssp585,2045,280.11414,6.964135742187523
ssp585,2046,280.1602,7.010186767578148
ssp585,2047,280.21884,7.068841552734398
ssp585,2048,280.3829,7.232904052734398
ssp585,2049,280.32538,7.175378417968773
ssp585,2050,280.34537,7.195367431640648
ssp585,2051,280.39774,7.247735595703148
ssp585,2052,280.38416,7.234155273437523
ssp585,2053,280.60928,7.459283447265648
ssp585,2054,280.7073,7.557305908203148
ssp585,2055,280.516,7.365991210937523
ssp585,2056,280.72882,7.578820800781273
ssp585,2057,280.86746,7.717462158203148
ssp585,2058,280.8195,7.669488525390648
ssp585,2059,280.7416,7.591607666015648
ssp585,2060,280.82153,7.671533203125023
ssp585,2061,280.93143,7.781427001953148
ssp585,2062,280.9509,7.800897216796898
ssp585,2063,281.01895,7.868951416015648
ssp585,2064,280.9257,7.775689697265648
ssp585,2065,281.16458,8.014581298828148
ssp585,2066,281.1368,7.986810302734398
ssp585,2067,281.1989,8.048913574218773
ssp585,2068,281.25116,8.101159667968773
ssp585,2069,281.3152,8.165185546875023
ssp585,2070,281.45248,8.302484130859398
ssp585,2071,281.53918,8.389184570312523
ssp585,2072,281.58682,8.436822509765648
ssp585,2073,281.5957,8.445703125000023
ssp585,2074,281.6807,8.530694580078148
ssp585,2075,281.6777,8.527703857421898
ssp585,2076,281.74646,8.596459960937523
ssp585,2077,281.69724,8.547235107421898
ssp585,2078,281.65067,8.500665283203148
ssp585,2079,281.89178,8.741784667968773
ssp585,2080,281.94675,8.796746826171898
ssp585,2081,282.0219,8.871911621093773
ssp585,2082,282.0841,8.934106445312523
ssp585,2083,282.1991,9.049096679687523
ssp585,2084,282.18152,9.031518554687523
ssp585,2085,282.2648,9.114801025390648
ssp585,2086,282.2632,9.113214111328148
ssp585,2087,282.42392,9.273919677734398
ssp585,2088,282.5215,9.371514892578148
ssp585,2089,282.52472,9.374719238281273
ssp585,2090,282.68414,9.534143066406273
ssp585,2091,282.62402,9.474023437500023
ssp585,2092,282.70682,9.556817626953148
ssp585,2093,282.76517,9.615167236328148
ssp585,2094,282.87225,9.722253417968773
ssp585,2095,282.945,9.795007324218773
ssp585,2096,282.97113,9.821130371093773
ssp585,2097,282.928,9.778009033203148
ssp585,2098,282.98538,9.835382080078148
ssp585,2099,282.99985,9.849847412109398
ssp585,2100,283.05396,9.903955078125023
